padding_token_1,padding_token_2,padding_token_3,Stop_codons,Start_codons,TSS,TSS_A,exon_stop,alternative_exon,constitutive_exon,internal_exon,long_exon,last_exon,last_exon_400bp,last_exon_sc400,intron,pos_cds,pos_exons,dist_sj_5_p2000,dist_sj_3_p2000,length_UTR3,length_UTR5,length_cds,length_gene_ex,length_gene_full,length_tx_exon,length_tx_full,clust_C_f1000,clust_C_f100,dist_C_p200,sncRNA,lncRNA,GC_cont_genes,GC_cont_101bp,GC_cont_101bp_abs
0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,-0.933231835,-0.927004412,0.335831873,-2.630497478,0.054350935,0,-0.37860317,-0.377254575,-0.391226815,-0.092160519,-0.391226815,-0.142284201,0.097965011,-0.820770499,1,1,2.149534267,0.909680841,0.826683441
0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1.614257032,1.612910824,0.335831873,-2.648890138,-0.011927976,0,-0.37860317,-0.377254575,-0.391226815,-0.092160519,-0.391226815,0.342742607,0.121825656,-0.451503793,1,1,2.149534267,1.375606387,1.508283746
0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1.73191214,1.730216146,0.335831873,-2.499126736,0.080782723,0,-0.37860317,-0.377254575,-0.391226815,-0.092160519,-0.391226815,0.307252841,-1.036200476,-0.853866818,1,1,2.149534267,1.400225125,1.482882151
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.154539373,0.157532875,0.335831873,-2.594514577,0.09806512,0,0.611135487,0.612260677,0.602422668,-0.503016875,0.602422668,0.839599338,0.127331417,1.656876569,1,1,-0.611154241,0.058369654,-0.020836263
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1.154017931,1.154040005,-3.175630798,0.49616263,-0.089586128,0,0.220387601,0.221600991,0.210130792,1.453818209,0.210130792,0.117974086,-0.249581388,-0.943729769,1,1,1.154597345,0.713456562,0.770341613
0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,-1.549799913,-1.541739446,-3.175630798,0.398249765,-0.042034816,0,0.220387601,0.221600991,0.210130792,1.453818209,0.210130792,-0.154114123,1.344175256,-0.917611647,1,1,1.154597345,0.451561143,0.384560437
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,-0.253322069,-0.249116003,0.335831873,-2.628242158,-0.064545908,0,0.38417414,0.38535056,0.374564512,-0.171171356,0.374564512,1.490245057,-0.630685764,-0.884472805,1,1,0.103453246,-0.434240222,0.442078552
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.087350542,0.090543795,0.335831873,-2.473917417,0.078744798,0,0.38417414,0.38535056,0.374564512,-0.171171356,0.374564512,1.608544279,-0.036831933,1.008239221,1,1,0.103453246,-0.50224323,0.599604562
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.121716638,0.124807722,0.335831873,-2.46574725,0.06931451,0,0.38417414,0.38535056,0.374564512,-0.171171356,0.374564512,1.644034046,-0.168013854,0.184025747,1,1,0.103453246,-0.264071222,0.098315493
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.410093015,0.412326761,0.335831873,-2.509118027,-0.089257312,0,0.38417414,0.38535056,0.374564512,-0.171171356,0.374564512,1.50207498,-0.519625894,0.675471613,1,1,0.103453246,-0.914740713,0.923146542
0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1.530726602,1.529628729,0.335831873,-2.628665144,-0.063485852,0,0.38417414,0.38535056,0.374564512,-0.171171356,0.374564512,0.733130039,2.429090148,-0.471873974,1,1,0.103453246,2.115616746,2.157290046
